new_vaccinations,iso_code,continent,date,new_cases,new_deaths,location,total_cases,total_deaths,reproduction_rate,icu_patients,hosp_patients,total_tests,positive_rate,total_vaccinations,people_vaccinated,population
0,IND,Asia,30-01-2020,1,0,India,1,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,31-01-2020,0,0,India,1,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,01-02-2020,0,0,India,1,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,02-02-2020,1,0,India,2,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,03-02-2020,1,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,04-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,05-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,06-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,07-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,08-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,09-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,10-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,11-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,12-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,13-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,14-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,15-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,16-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,17-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,18-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,19-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,20-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,21-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,22-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,23-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,24-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,25-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,26-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,27-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,28-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,29-02-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,01-03-2020,0,0,India,3,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,02-03-2020,2,0,India,5,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,03-03-2020,0,0,India,5,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,04-03-2020,23,0,India,28,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,05-03-2020,2,0,India,30,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,06-03-2020,1,0,India,31,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,07-03-2020,3,0,India,34,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,08-03-2020,5,0,India,39,0,0,0,0,0,0,0,0,1380004385
0,IND,Asia,09-03-2020,4,0,India,43,0,0,0,0,0,0,0,0,1380004385
